X,Y
3.6403079013,3.5420682259
3.6481600506,3.5384642275
3.6538749979,3.5357556188
3.658134442,3.5337020892
3.6613465516,3.5321385673
3.6637844168,3.5309455944
3.665640902,3.5300342182
3.6670576856,3.5293374863
3.6709818536,3.5274042953
3.6716620858,3.5270688725
7.7663210772,3.538564913
7.766223985,3.5424667879
7.765936815,3.5462186246
7.7654702737,3.5496763247
7.764842401,3.552707083
7.7640773965,3.5551943743
7.7632045932,3.5570425729
7.7622574308,3.5581806198
7.7612725756,3.5585649553
7.6716620374,3.5270688725
7.6723422696,3.5274042953
7.6762664376,3.5293374863
7.6776832212,3.5300342182
7.6795397064,3.5309455944
7.6819775716,3.5321385673
7.6851896811,3.5337020892
7.6894491253,3.5357556188
7.6951640726,3.5384642275
7.7030162219,3.5420682259
7.7388367947,3.5553195528
7.7612725756,3.5585649553
8.4361659658,2.808564946
8.4312917021,2.9776739491
8.4270736175,3.1237619049
2.9071581574,2.808564946
2.9120324211,2.9776739491
2.9162505057,3.1237619049
8.549925185,3.1190966388
8.5559017826,2.9101476451
8.5588019358,2.808564946
2.7933989382,3.1190966388
2.7874223406,2.9101476451
2.7845221874,2.808564946
7.8509995657,7.3820025847
7.8861831726,7.321062922
7.923168412,7.2570025862
7.4901557742,7.2570025862
7.4964240884,7.2678596716
7.5294520136,7.3250658307
7.5623244738,7.3820025847
7.4901557742,7.0070025892
7.4838873133,7.0178596746
7.4508593881,7.0750658246
7.4179869279,7.1320025877
7.4179869279,7.1320025877
7.4531703881,7.1929422504
7.4901557742,7.2570025862
7.9953372583,7.1320025877
7.9601536514,7.071062925
7.923168412,7.0070025892
7.923168412,7.2570025862
7.9294367262,7.2461455008
7.962464798,7.1889393508
7.9953372583,7.1320025877
7.5623244738,6.8820025907
7.5271410136,6.9429422534
7.4901557742,7.0070025892
7.923168412,7.0070025892
7.9169000977,6.9961455038
7.8838720259,6.9389393446
7.8509995657,6.8820025907
3.5116620408,7.3485089432
3.5225192087,7.3547772758
3.5797252945,7.3878052743
3.6366621034,7.4206777162
3.3866621248,7.2763401519
3.4476017141,7.3115236855
3.5116620408,7.3485089432
3.7616620194,7.3485089432
3.7725191873,7.3422405923
3.8297252731,7.3092126122
3.8866620821,7.2763401519
3.8866620821,6.9876650234
3.825722346,6.9524814899
3.7616620194,6.9154962321
3.5116620408,6.9154962321
3.5008050195,6.921764583
3.443598787,6.9547925632
3.3866621248,6.9876650234
3.7616620194,6.9154962321
3.7508049982,6.9092278995
3.6935987657,6.8761999011
3.6366621034,6.8433274591
3.6366621034,6.8433274591
3.5757223674,6.8785109744
3.5116620408,6.9154962321
5.5722069305,7.6334382851
5.5694965526,7.6511846
5.5646798275,7.6599392522
5.5571544844,7.6665393227
5.5478912806,7.6700257691
5.5419202745,7.6705410398
4.7546171754,7.6557728304
4.755424126,7.6516067752
4.75710124,7.6490376082
4.7604805476,7.6464855643
4.7646484728,7.644669852
4.7760514544,7.6705410398
4.7642802704,7.6686236886
4.7596258575,7.6657977846
4.7561258446,7.6616194828
4.7547967666,7.6578724128
4.7546171754,7.6557728304
4.7340402997,7.6555584795
4.7359720241,7.6663460182
4.7414661673,7.6758587817
4.7496868123,7.6826430633
4.762066656,7.6870650489
4.7766087813,7.6883744004
5.6792069334,7.6321736663
5.6766186777,7.6515752055
5.6728093402,7.6591741377
5.666574492,7.6650325234
5.6590851311,7.6683051323
5.6518139046,7.6691692456
5.121743801,7.6627175268
5.1275541538,7.6547773052
5.1338163448,7.6471736797
5.138502034,7.6437466326
5.1441279924,7.642157371
5.1519447221,7.6417333626
5.1001865067,7.6320025816
5.1091751261,7.6370262603
5.1175426562,7.6390754999
4.8781859346,7.6883744004
4.8967060539,7.6864659958
4.9069207559,7.6818173028
4.915077895,7.6740759589
4.9198755996,7.6638749701
4.8369248979,7.6359675225
4.8376292564,7.6557577239
4.8401516739,7.6680652984
4.8448889525,7.6761938745
4.8520581564,7.682293304
4.8637152351,7.686999123
4.8781859346,7.6883744004
4.960386445,7.6550655019
4.961622024,7.6489447326
4.9639196775,7.645535652
4.9672112795,7.6430665105
4.9724032928,7.6413099408
4.990072902,7.6403615684
4.8788075007,7.6705410398
4.8698774372,7.6694583223
4.8648294488,7.6671319958
4.8608689079,7.6632272243
4.858609094,7.6581149967
4.8575017735,7.6393112639
5.7926157843,7.6681403908
5.7857535869,7.6653484764
5.7815208175,7.6615726967
5.7779702052,7.6546170371
5.7754318928,7.6403851815
5.7752325751,7.6335454605
5.2093582288,6.5756307749
5.1893376168,6.5779870944
5.17866895,6.5835685032
5.1706994687,6.5926326185
5.1676685271,6.6001302052
5.4810464919,6.5934641356
5.4914190604,6.5948948891
5.4965854991,6.5975121255
5.500578068,6.6017184769
5.5021465032,6.6053961377
5.5024807893,6.608232345
5.5230577108,6.6084466958
5.5211260048,6.5976582771
5.5156195692,6.5881525903
5.5073934976,6.581337729
5.4949947891,6.5769327199
5.4804892017,6.5756307749
5.8662464954,6.5934641356
5.8766190639,6.5948948891
5.8817854842,6.5975121255
5.8857780531,6.6017184769
5.8873465066,6.6053961377
5.8876807928,6.608232345
5.9082577051,6.6084466958
5.9063259991,6.5976582771
5.9008195727,6.5881525903
5.892593501,6.581337729
5.8801947926,6.5769327199
5.8656892052,6.5756307749
6.1049730893,6.608232345
6.1041144025,6.6124953091
6.1023577962,6.6151341786
6.0989533355,6.6176025501
6.0949418652,6.6193353234
6.0835388102,6.5934641356
6.0939113604,6.5948948891
6.0990778174,6.5975121255
6.1030703679,6.6017184769
6.1046388031,6.6053961377
6.1049730893,6.608232345
6.1255500382,6.6084466958
6.1236183139,6.5976582771
6.1181118875,6.5881525903
6.1098858159,6.581337729
6.0974870891,6.5769327199
6.08298152,6.5756307749
6.5560192854,6.608232345
6.555160562,6.6124953091
6.5534039556,6.6151341786
6.549999495,6.6176025501
6.545987988,6.6193353234
6.534584933,6.5934641356
6.5449575199,6.5948948891
6.5501239402,6.5975121255
6.5541165274,6.6017184769
6.5556849626,6.6053961377
6.5560192854,6.608232345
6.576596161,6.6084466958
6.5746644367,6.5976582771
6.569158047,6.5881525903
6.5609319753,6.581337729
6.5485332852,6.5769327199
6.5340276795,6.5756307749
5.2506192655,6.6280376529
5.2496146471,6.6054400639
5.2470193004,6.5950076744
5.2409645304,6.5859734421
5.2334283708,6.5805208784
5.2233479405,6.5769029102
5.2093582288,6.5756307749
5.5024807893,6.608232345
5.5016220842,6.6124953091
5.4998654779,6.6151341786
5.4964610172,6.6176025501
5.4924495469,6.6193353234
5.8876807928,6.608232345
5.8868220877,6.6124953091
5.8850654813,6.6151341786
5.8816610207,6.6176025501
5.877649532,6.6193353234
5.208736626,6.5934641356
5.2176014603,6.5945336532
5.2227748105,6.5969202223
5.2268060073,6.6009690189
5.2287790911,6.6052527361
5.2300105636,6.6208183996
5.2300423165,6.6246939115
5.0168654392,6.6089396735
